abandon,v./n.放弃；放纵
curdle,v.使凝结，变稠
curmudgeon,n.脾气暴躁之人
curriculum,n.(全部的)课程
cursory,a.粗略的，草率的
curt,a.(言词、行为)简略而草率的
curtail,v.削减，缩短
cushion,n.坐垫；v.缓冲
custodian,n.管理员，监护人
custody,n.监管，保管
customary,a.合乎习俗的
cuticle,n.表皮
cutlery,n.(刀、叉、匙等)餐具
cyclical,a.循环的
cyclone,n.气旋，飓风
cylinder,n.圆柱
cynic,n.犬儒主义者，愤世嫉俗者
cypress,n.柏树
cytology,n.[生]细胞学
dabble,v.涉足，浅赏
daft,a.傻的
dagger,n.短剑，匕首
daguerreotype,n.(早期)银版照相
dainty,n.精美食品；a.娇美的；挑剔的
dally,v.闲荡，嬉戏
damp,v.减弱，制止振动；a.潮湿的
damped,a.减震的，压低(声音)的
dampen,v.(使)潮湿；使沮丧，泼凉水
dandy,n.花花公子，好打扮的人
dapper,a.整洁漂亮的；动作敏捷的
dappled,a.有斑点的，斑驳的
daredevil,a./n.胆大的(人)，冒失的(人)
dart,n.飞镖；v.急驰；投射
daunt,v.使胆怯，使畏缩
dawdle,v.闲荡，虚度
deactivate,v.使无效
deaden,v.减低某物的力量或强度
deadlock,n.相持不下，僵局
deadpan,a./n.无表情的(脸)
dealing,n.生意行为；作风
dearth,n.缺乏，短缺
debacle,n.解冻；崩溃
debark,v.下船，下飞机，下车，卸载
debase,v.贬低，贬损
debate,n.正式的辩论，讨论
debilitate,v.使衰弱
debouch,v.流出，进入(开阔地区)
debrief,v.向…询问情况，听取汇报
debris,n.废墟，残骸
debunk,v.揭穿真相，暴露
debut,n.初次登台，初次露面
decadence,n.衰落，颓废
deceit,n.欺骗，欺诈
decency,n.正派，端庄
decent,a.适当的，可接受的；得体的
deception,n.欺骗手段
decibel,n.分贝(音量的单位)
deciduous,a.非永久的；短暂的；脱落的；落叶的
decimate,v.毁掉大部分；大量杀死
decipher,v.解开(疑团)；破译(密码)
declaim,v.高谈阔论
declamation,n.雄辩，高调
decline,v.拒绝；变弱，变小；n.消减
decode,v.译解(密码)
decompose,v.(使)腐烂
decomposition,n.分解，腐烂，崩溃
decorate,v.装饰某事物
decorum,n.礼节，礼貌
decrepit,a.衰老的，破旧的
decry,v.责难；贬低(价值)
dedication,n.对某事业或目的的忠诚
deduce,v.演绎，推断
deduct,v.减去，扣除；演绎
deductive,a.推理的，演绎的
deed,n.行为；(土地或建筑物的)转让契约、证书
deface,v.损坏
default,v./n.拖债；未履行的责任
defeatist,n.失败主义者
defect,n.缺点，瑕疵；v.变节，脱党
defendant,n.被告
defense,n.防御，防护
defer,v.推延；听从
deference,n.敬意，尊重
deferential,a.顺从的，恭顺的
defiance,n.挑战，违抗，反抗
deficiency,n.缺陷；不足
deficit,n.不足，赤字
defile,v.弄污，弄脏；n.(山间)小道
defined,a.定义的；清晰的
definite,a.清楚的，明确的
definition,n.(轮廓等)清晰；定义
definitive,a.明确的，有权威的
deflated,a.灰心丧气的
deflect,v.偏离，转向
defoliator,n.落叶剂
deforestation,n.采伐森林
defraud,v.欺骗某人
deft,a.灵巧的，熟练的
defuse,v.从(爆破装置)中卸除引信；缓和紧张状态或危急局面
defy,v.违抗，藐视
degradation,n.降低身份，受辱
dehydrate,v.除去水分，脱水
deify,v.奉为神；崇拜
deign,v.屈尊，惠允(做某事)
dejected,a.沮丧的，失望的
delectable,a.赏心悦目的
delegate,n.代表；v.委派…为代表，授权
deleterious,a.(对身心)有害的，有毒的
deliberate,a.深思熟虑的，故意的；v.慎重考虑
delicacy,n.细嫩；精致，优雅
delicate,a.娇嫩的；精致的，优美的
delimit,v.定界，划界
delineate,v.描画
delinquency,n.失职，过失
delinquent,a.疏忽职务的
delirious,a.精神错乱的
delirium,n.精神错乱
delta,n.三角洲
delude,v.欺骗，哄骗
deluge,n.大洪水；暴雨
delusion,n.欺骗，幻想
delve,v.深入探究，钻研
demagogue,n.蛊惑民心的政客
demand,v.要求，苛求
demanding,a.苛刻的，过分要求的
demean,v.贬抑，降低
demise,n.死亡；财产转让
demography,n.人口统计，人口学
demolish,v.破坏；拆除
demolition,n.破坏，毁坏
demonstrate,v.证明，论证；示威
demonstrative,a.证明性的；喜怒形于色的
demoralize,v.使士气低落
demote,v.降级，降职
demotic,a.民众的，通俗的
demur,v.表示异议，反对
demystify,v.弄清楚
den,n.兽穴，窝
denigrate,v.污蔑，诽谤
denim,n.粗斜纹棉布
denizen,n.居民；外籍居民
denomination,n.命名；(长度，币值的)单位
denote,v.表示；指示意义
denouement,n.(小说的)结尾，结局
denounce,v.指责
dent,n.缺口，凹痕；v.弄凹
denture,n.假牙
denude,v.脱去；剥蚀；剥夺
denunciation,n.谴责，斥责
depict,v.描绘，描画
deplete,v.倒空；耗尽
deplore,v.悲悼，哀叹
deport,v.(将外国人、罪犯等)驱逐出境
deportation,n.驱逐出境
depose,v.免职；作证
deposition,n.免职；沉积；作证
depraved,a.堕落的，腐化的
depravity,n.堕落，恶习
deprecate,v.反对，轻视
depreciate,v.轻视；贬值
depressed,a.消沉的；凹陷的
depression,n.忧愁，消沉；数量减少
deprivation,n.剥夺；缺乏
deputy,n.代表；副警长
deracinate,v.根除，杜绝
deranged,a.精神错乱的，有精神病的
derelict,a.荒废的；玩忽职守的；n.被遗弃的人
dereliction,n.遗弃，弃置
deride,v.嘲弄，愚弄
derivation,n.发展，起源；词源
derivative,a.派生的；无创意的
dermatologist,n.皮肤病学家
derogate,v.贬低，诽谤
derogatory,a.不敬的，诽谤的
descend,v.下来，下降
descendant,n.后代，后裔
descent,n.降落；侵袭；血统
descry,v.远远看到，望见
desecrate,v.玷辱，亵渎
desert,v.放弃，离弃
deserted,a.荒芜的，无人的
deserter,n.背弃者，逃亡者
desertion,n.离弃，遗弃
desiccate,v.(使)完全干涸，脱水
designation,n.指定；名称，称呼
designer,n.设计者，构思者
desirable,a.值得要的
desperate,a.不顾死活的，拼命的
despicable,a.可鄙的，卑劣的
despise,v.鄙视，藐视
despondent,a.失望的，意气消沉的
despot,n.暴君
despotic,a.专横的，暴虐的
despotism,n.专制，暴政
destitution,n.匮乏，穷困
desultory,a.不连贯的，散漫的
detach,v.分离，分遣
detached,a.分开的；超然的
detain,v.拘留；使延迟
detection,n.查出，探获
deter,v.威慑，吓住；阻止
detergent,a.净化的；n.清洁剂
deteriorate,v.(使)变坏，恶化
deterioration,n.恶化，堕落
determinant,n.决定因素；a.决定性的
determination,n.决心；确定；预测
detest,v.深恶，憎恶
detonation,n.爆炸，爆炸声
detour,n.弯路；绕行之路
detraction,n.贬低，诽谤
detrimental,a.损害的，造成伤害的
detritus,n.碎屑；废墟
devastate,v.摧毁，破坏
deviant,a.越出常规的
deviate,v.越轨，脱离
deviation,n.背离
devious,a.不正直的；弯曲的
devise,v.发明，设计；图谋；遗赠给
devoid,a.空的，缺少的
devoted,a.投入的，热爱的
devotee,n.爱好者
devotional,a.献身的，崇拜的
devour,v.吞食；贪婪地享受
devout,a.虔敬的；忠诚的，忠心的
dexterity,n.纯熟，灵巧
dexterous,a.灵巧的，熟练的
diabetes,n.糖尿病
diabolical,a.恶毒的，狠毒的
diagnose,v.判断，诊断
diagonal,a.对角的；n.对角线
diagram,n.图解，图表
dialect,n.方言
diameter,n.直径
diaphanous,a.精致的，透明的
diatribe,n.(口头或书面猛烈的)抨击
dictate,v.口述；命令
didactic,a.教诲的；说教的
die,n.金属模子，印模
diehard,n.顽固分子
differentiate,v.辨别，区别
diffident,a.缺乏自信的
diffuse,v.散布，(光等)漫射；a.漫射的，散漫的
digestion,n.消化，吸收
digit,n.手指，足趾；数字，数码
dignity,n.尊严，尊贵
digress,v.离题
digression,n.离题，题外话
dilapidate,v.(使)荒废，(使)毁坏
dilapidated,a.破旧的，倒塌的
dilate,v.(身体某部位)张大，扩大
dilatory,a.慢吞吞的，磨蹭的
dilemma,n.困境，左右为难
dilettante,n.半瓶醋，业余爱好者
diligence,n.勤勉，勤奋
dilute,v.把(液体)弄稀，弄淡
dim,v.使暗淡，使模糊
dimension,n.维度，尺寸
diminution,n.减少，缩减
dimple,n.酒窝，笑靥
din,n.喧闹声，嘈杂声
dingy,a.肮脏的；褪色的
diplomatic,a.外交的；圆滑的
dire,a.可怕的
dirge,n.哀歌
disabuse,v.打消(某人的)错误念头；纠正
disaffect,v.使不满；使不忠
disagreeable,a.讨厌的；乖戾的
disarm,v.使…解除武器；使…缓和
disarray,n.混乱，漫无秩序
disaster,n.灾难，大不幸
disbar,v.取消律师资格
disburse,v.支付，支出
discard,v.扔掉，抛弃
discern,v.(费劲)识别，看出
discernible,a.可识别的，依稀可辨的
discerning,a.识别力强的
discharge,v.流出；释放；解雇；履行义务
disciple,n.信徒，弟子
discipline,v.训练，训导；n.纪律；惩罚，处分
disclaim,v.放弃权利；拒绝承认
disclose,v.使某物显露
discography,n.唱片分类目录；录音音乐研究
discombobulate,v.扰乱，使困惑
discombobulated,a.扰乱的，打乱的
discomfit,v.使懊恼；使难堪
discomfited,a.困惑的，尴尬的
discomfiture,n.狼狈，难堪
discompose,v.使失态，慌张
disconcert,v.使…尴尬
discord,n.不和，纷争
discount,n.折扣
discourse,n.演讲，论述
discredit,v.怀疑；n.丧失名誉
discreet,a.言行谨慎的
discrepancy,n.不同，矛盾
discrete,a.个别的；不连续的
discretion,n.谨慎，审慎
discretionary,a.自由决定的
discriminate,v.区分
discriminatory,a.歧视的，差别待遇的
discursive,a.散漫的，无层次的
disdain,n./v.轻视，鄙视
disembodied,a.无实体的，空洞的
disenchant,v.对…不再抱幻想，使清醒
disengage,v.脱离，解开
disentangle,v.解决，解脱，解开，澄清
disfigure,v.毁容
disgorge,v.呕出；(水)流走
disgruntle,v.使不满意
disguise,v.假扮；掩饰
disgust,n.反感，厌恶
disillusion,v.梦想破灭，醒悟
disinfect,v.杀菌，消毒
disinfectant,n.消毒剂
disinter,v.挖出，挖掘
disinterested,a.公正的，客观的
disjunction,n.分离，分裂
disjunctive,a.分离的，相反的
dislocate,v.使脱臼；把…弄乱
dislodge,v.逐出，取出
dismal,a.使人悲伤的，阴沉的
dismantle,v.拆除
dismay,n.沮丧，气馁；v.使气馁
disparage,v.贬抑，轻蔑
disparate,a.迥然不同的
disparity,n.不同，差异
dispassionate,a.平心静气的
dispatch,v.派遣；一下子做完；吃完；n.迅速
dispel,v.驱散，消除
dispensable,a.不必要的，可有可无的
dispense,v.分配，分发
disperse,v.消散，驱散
displace,v.换置；使某人某物离开原位
disposable,a.一次性使用的；可动用的
disposal,n.清除，处理
dispose,v.使倾向；处理掉
disposed,a.愿意的，想干的
disposition,n.处理；天性，气质
disproof,n.反证，反驳
disprove,v.证明…有误
dispute,v.争论
disregard,v./n.疏忽，漠视
disrepute,n.名声不好
disrupt,v.弄乱，扰乱
disruptive,a.制造混乱的
dissect,v.解剖
dissemble,v.隐藏，掩饰(感受、意图)
disseminate,v.散布，传播
dissent,v.不同意，持异议
dissertation,n.专题论文
dissident,n.唱反调者
dissimulate,v.隐藏，掩饰
dissipate,v.(使)驱散；浪费
dissociation,n.分离，脱离关系
dissolute,a.放荡的，无节制的
dissolve,v.使固体溶解
dissonant,a.不和谐的，不一致的
dissuade,v.劝阻，阻止
distant,a.疏远的，冷淡的
distend,v.(使)膨胀，胀大
distension,n.膨胀
distill,v.蒸馏
distinct,a.清楚的，明显的
distinction,n.区别，差别；知名
distinctive,a.出众的，有特色的
distinguished,a.著名的，卓越的
distort,v.扭曲，弄歪
distract,v.分心，转移；使发狂，困扰
distracted,a.心烦意乱的，精神不集中的
distraught,a.心神狂乱的
distress,n.痛苦，悲痛
distribute,v.分发，分配某事物
district,n.地区，行政区，（美国各州的）众议院选区
ditty,n.小曲，小调
diurnal,a.白昼的，白天的
diva,n.歌剧中的首席女主角
diver,n.潜水员
diverge,v.分歧，分开
divergent,a.分叉的，岔开的，背道而驰的
diverse,a.不同的；多样的
diversity,n.多样，千变万化
divert,v.使某事物转向；使娱乐
divest,v.卸下盛装；剥夺
divestiture,n.脱衣，卸下装饰；剥夺财产；取消称号
divine,v.推测，预言
divulge,v.泄露，透露
docile,a.驯服的，听话的
doctrinaire,n.空论家；a.教条的，迂腐的
doctrine,n.教义，主义；学说
document,v.为…提供书面证明
dodder,v.蹒跚，摇摆
dodge,v.闪开，躲避
doff,v.脱掉
dogged,a.顽强的
doggerel,n.歪诗，打油诗
dogma,n.教条，信条
dogmatism,n.教条主义，武断
doldrums,n.赤道无风带；情绪低落
doleful,a.忧愁的，消沉的
dolorous,a.悲哀的，忧愁的
dolt,n.傻瓜
domain,n.领土；领域
dome,n.圆顶屋
domesticate,v.驯养
domicile,n.住处，住所
dominant,a.显性的，优势的
dominate,v.控制，支配
domination,n.控制，支配，管辖
donate,v.捐赠，赠送
donor,n.捐赠者，赠送者；献血者
doodle,v.胡乱画；混时间
dormancy,n.休眠状态
dormant,a.冬眠的；静止的
dorsal,a.背部的
dose,n.剂量，一剂
dossier,n.卷宗，档案
dote,v.溺爱；昏聩
doting,a.溺爱的
dour,a.严厉的，脸色阴沉的
douse,v.把…浸入水中；熄灭
down,n.绒毛；汗毛
downplay,v.贬低，不予重视
downpour,n.暴雨
down-to-earth,n.脚踏实地的，实际的
doyen,n.老前辈
drab,a.枯黄色的；无聊的
draconian,a.严厉的，严酷的
draft,n.草稿，草案；汇票
draftsmanship,n.起草术，制图术
drain,v.排出沟外；喝光
drainage,n.排水；污水
drastic,a.猛烈的，激烈的
drawbridge,n.吊挢
drawl,v./n.慢吞吞地说话（态度）
dreary,a.沉闷的，乏味的
dregs,n.糟粕，沉淀废物
drench,v.使湿透
drenched,a.湿透的
drill,n.钻；钻床
drivel,n./v.说废话
drizzle,v.下毛毛雨；n.毛毛雨
drizzly,a.毛毛细雨的
droll,a.古怪的，好笑的
drone,v.嗡嗡地响，单调地说；n.单调的低音
droop,v.低垂；沮丧，萎靡
droplet,n.小水滴
dross,n.浮渣；糟粕
drought,n.干旱；干旱时期
drove,n.畜群；人群
drudgery,n.苦工，苦活
dual,a.双重的
dubious,a.可疑的；名声不大好的
duckling,n.雏鸭，小鸭
duct,n.管道，槽
duel,n.决斗
duet,n.二重唱
dull,a.不鲜明的；迟钝的；v.变迟钝
dummy,n.人体模型，假人
dune,n.沙丘
dupe,n.易上当的人
duplicitous,a.搞两面派的，奸诈的
duplicity,n.欺骗，口是心非
duration,n.持续的时间
duress,n.胁迫
dutiful,a.恭敬顺从的，尽职的
dwarf,n.侏儒；矮小的植物；v.使变矮小
dwelling,n.住处
dwindle,v.变小
dynamic,a.动态的；有活力的
dynamo,n.发电机
dysfunctional,a.功能失调的
dyslexia,n.阅读障碍
dyspeptic,a.消化不良的；不高兴的
earnest,a.认真的
earplug,n.耳塞
earring,n.耳环，耳饰
earshot,n.听力所及范围
earsplitting,a.震耳欲聋的
earthly,a.现世的，尘世的
earthy,a.粗俗的，粗陋的
easel,n.黑板，画架
eavesdrop,v.偷听，窃听
ebb,v.退潮；衰退
ebullience,n.兴冲冲，亢奋
eccentric,a.古怪的，反常的；n.古怪的人
eclectic,a.折衷的，综合性的
eclecticism,n.折衷主义
ecologist,n.生态学家，生态学者
economical,a.经济的，节约的
ecstasy,n.狂喜；激情状态
ecstatic,a.狂喜的，心花怒放的
eddy,n.漩涡，涡流
edifice,n.宏伟的建筑(如宫殿、教堂)
edify,v.陶冶，启发
efface,v.擦掉，抹去
effervesce,v.冒泡；热情洋溢
effete,a.无生产力；虚弱的
efficacious,a.有效的
efficacy,n.功效，有效性
effluvia,n.气味，恶臭；废料
effrontery,n.厚颜无耻
effulgent,a.灿烂的
egalitarian,a.主张人人平等的
egocentric,a.利己的
egotist,n.自私自利者
egregious,a.(缺点等)过分的，惊人的
egress,n.出去，出口
elaborate,a.精致的，复杂的；v.详尽地说明，阐明
elaboration,n.详细的细节，详尽阐述
elated,a.得意洋洋的，振奋的
elbow,n.肘
elegy,n.哀歌，挽歌
elementary,a.初级的
elephantine,a.笨拙的，庞大的
elevate,v.将…举起
elicit,v.引出，探出
eligible,a.合格的
eliminate,v.除去，淘汰
elite,n.精华，中坚
ellipsis,n.省略
elliptical,a.椭圆的；晦涩的；省略的
elm,n.榆树
elocution,n.演说术
elongate,v.延长，伸长
eloquence,n.雄辩，精彩演讲
elucidate,v.阐明，说明
elude,v.逃避；搞不清
elusive,a.难懂的
emaciate,v.使…瘦弱；消瘦
emaciation,n.消瘦，衰弱
emanate,v.散发，发出，发源
emancipate,v.解放，解除
embargo,n.禁运令，封港令
embarrass,v.使忸怩，使难堪
embed,v.牢牢插入，嵌于
embellish,v.装饰，润饰
embezzlement,n.贪污，盗用
emblematic,a.作为象征的
embody,v.(作品等)表达，体现
embolden,v.鼓励
emboss,v.加浮雕花纹于，使凸出
embrace,v.拥抱；包含
embroider,v.刺绣，修饰
emend,v.订正，校订
emergency,n.紧急事件
emigrate,v.自本国移居他国
eminence,n.卓越，杰出
eminent,a.著名的，显著的
emissary,n.密使；特使
emit,v.放射(光、热、味等)
emollient,n.润肤剂
emote,v.激动地表达感情
empathy,n.心意相通，(感情等)融为一体
emphatic,a.重视的，强调的
empirical,a.经验的，实证的
empiricism,n.经验主义
empower,v.授权给某人采取行动
empyreal,a.天空的
emulate,v.努力赶上或超越
emulsify,v.使乳化
enact,v.制定(法律)；扮演(角色)
enamel,n.珐琅，瓷釉
enamored,a.珍爱的，喜爱的
encapsulate,v.装入胶囊；压缩
enchant,v.使迷醉；施魔法于
enclosure,n.圈地，围占
encomiast,n.赞美者
encomium,n.赞颂，颂辞
encompass,v.包围，围绕
encounter,v.遭遇
encroach,v.侵占，蚕食
encumber,v.妨害，阻碍
encyclopedia,n.百科全书
endearing,a.讨人喜欢的
endemic,a.地方性的
endorse,v.背书；赞同
endow,v.资助，捐助
endure,v.忍受，忍耐
enduring,a.持续的
enervate,v.使虚弱，使无力
enfeeble,v.使衰弱
enfetter,v.给…上脚镣；束缚，使受制于
enflame,v.使愤怒或激动
engaged,a.忙碌的，使用中的
engaging,a.迷人的，美丽动人的
engender,v.产生，引起
engrave,v.在(硬物)上雕刻
engross,v.全神贯注于
engulf,v.吞噬
enhance,v.提高，增加，改善
enjoin,v.命令，吩咐
enlighten,v.启发，开导，教导，授予…知识
enlightening,a.有启迪作用的；使人领悟的
enlist,v.(使)入伍从军，征募
enliven,v.使…更活跃
enmesh,v.通常被动)绊住，陷入网
enmity,n.敌意，仇恨
ennui,n.倦怠，无聊；v.使无聊
enormity,n.极恶；暴行；巨大
enormous,a.极大的，巨大的
enrage,v.激怒，触怒
enrapture,v.使狂喜，使高兴
ensconce,v.安置，安坐
ensemble,n.全体；大合唱
ensign,n.舰旗(船上表示所属国家的旗帜)
ensue,v.继而发生
ensure,v.确保，担保
entail,v.需要，需求，必须
entangle,v.使纠缠，卷入
enterprise,n.公司，事业单位；进取心
enthralling,a.迷人的，吸引人的
entice,v.怂恿，引诱
entirety,n.整体，全面
entitle,v.使有权(做某事)
entity,n.实体，统一体
entrance,v.使出神，使入迷
entrancing,a.使人入神的
entreat,v.恳求
entreaty,n.恳求，哀求
entrée,n.正餐前的开胃菜；获准进入的权利
entrepreneur,n.企业家，创业人
entrust,v.委托；托付
entry,n.条目；登录；报关手续；入口
enumerate,v.列举，枚举
enunciate,v.发音；(清楚地)表达
environ,v.包围，围绕
envision,v.想象，预想
enzyme,n.酵素，酶
epaulet,n.肩章，肩饰
ephemeral,a.朝生暮死的；生命短暂的
epic,n.叙事诗，史诗；a.英雄的；大规模的
epicure,n.美食家
epidemic,a.传染性的，流行性的
epidermis,n.表皮，外皮
epigram,n.讽刺短句，警句
epilogue,n.收场白；尾声
episodic,a.偶然发生的，分散性的
epitaph,n.墓志铭
epithet,n.(贬低人的)短语或形容词
epitome,n.典型；梗概
epitomize,v.概括，摘要
epoch,n.纪元；重大的事件
equable,a.稳定的，不变的；(脾气)温和的
equanimity,n.镇定，沉着
equate,v.认为…相等或相仿
equation,n.等式；等同，相等
equator,n.赤道
equilibrium,n.平衡
equine,a.马的，似马的
equity,n.公平，公正
equivalent,a.相等的，等值的
equivocate,v.模棱两可地说，支吾其词，说谎
equivocation,n.模棱两可的话，含糊话
eradicate,v.根除；扑灭
erase,v.擦掉，抹去
erasure,n.擦掉，擦痕
erect,a.竖立的，笔直的，直立的
err,v.犯错误，出错
errand,n.差使；差事
erratic,a.反复无常的；古怪的
ersatz,a.代用的，假的
erstwhile,a.从前的，过去的
erudite,a.博学的，饱学的
erupt,v.爆发；喷出(熔岩、水、气体、泥浆等)
escalate,v.(战争等)升级；扩大，上升
escalation,n.逐步上升，逐步增强
escapism,n.逃避现实(的习气)
eschew,v.避开，戒绝
esophagus,n.食道，食管
esoteric,a.秘传的；神秘的
espionage,n.间谍活动
espousal,n.拥护，支持
espouse,v.支持，拥护
espy,v.(从远处等)突然看到
essential,a.本质的；n.要素，实质
estimable,a.值得尊敬的；可估计的
estranged,a.疏远的，分开的，分离的
etch,v.蚀刻)；铭记
etching,n.蚀刻术；蚀刻板画
eternal,a.永久的，永恒的
ethereal,a.太空；轻巧的
ethics,n.伦理学；道德规范
ethnic,a.种族的
ethnology,n.人种学，人类文化学
ethos,n.(个人、团体或民族)道德风貌，思潮，信仰
etiquette,n.礼仪；礼节
etymology,n.语源学
eucalyptus,n.桉树
eulogistic,a.颂扬的，歌功颂德的
eulogize,v.称赞，颂扬
eulogy,n.颂词，颂文
euphemism,n.婉言，委婉的说法
euphonious,a.悦耳的
euphoria,n.幸福愉快感
evacuate,v.撤退；撤离
evade,v.逃避；规避
evaluation,n.评价，评估
evanescent,a.迅速消失的，短暂的
evaporate,v.(使某物)蒸发掉
evasion,n.躲避，借口
evasive,a.迥避的，逃避的，托辞的
even,a.平的
evenhanded,a.公平的，不偏不倚的
evict,v.(依法)驱逐
eviction,n.(对房客或佃户的)驱逐
evince,v.表明，表示
evocative,a.唤起的，激起的
evoke,v.引起；唤起
evolve,v.使逐渐形成，进化
ewe,n.母羊
ewer,n.大口水罐
exacerbate,v.加重，恶化
exact,a.精确的；v.强求，强索付款
exacting,a.苛求的；要求严格的
exactitude,n.极端的正确性或精确性
exaggerate,v.夸张；夸大
exaggeration,n.夸张
exalt,v.(高度)赞扬，歌颂
exaltation,n.(成功带来的)得意，高兴
exasperate,v.激怒，使恼怒
excavate,v.挖掘；挖出
exceed,v.超过；超出
excel,v.善于，擅长于
exceptional,a.特别(好)的
excess,n.过分，过度
excise,v.切除，删去
excitability,n.易兴奋性，易激动性
exclaim,v.惊叫，呼喊
exclamation,n.惊叹词，惊呼
exclude,v.排斥；排除
exclusive,a.(人)孤僻的；(物)专用的
excoriate,v.撕去皮；严厉批评
excrete,v.排泄，分泌
exculpate,v.开脱，申明无罪
excursion,n.短途旅游
excursive,a.离题的，随意的
execrable,a.极坏的
execrate,v.憎恶；咒骂
execute,v.执行，履行；将某人处死
exemplary,a.可作楷模的
exemplify,v.是…的典型
exempt,a.被免除的；v.使免除
exert,v.运用(力量等)
exhale,v.呼出(气)
exhaust,n.(机器排出的)废气，蒸气；v.使非常疲倦
exhaustive,a.彻底的，无遗漏的
exhilarate,v.使高兴
exhilaration,n.高兴，活跃
exhort,v.力劝，勉励
exigent,a.需要立即采取行动的
existential,a.有关存在的，存在主义的
exodus,n.大批离去，成群外出
exonerate,v.免除责任；确定无罪
exorbitant,a.过分的，过度的
exorcise,v.驱魔；去除(坏念头等)
exotic,a.珍奇的；来自异国的
expand,v.扩大，膨胀
expansive,a.(指人)健谈的，开朗的；可扩大的，可伸展的
expediency,n.方便；权宜之计
expedient,n.权宜之计，临时手段；a.(指行动)有用的
expeditious,a.迅速的，敏捷的
expel,v.排出；开除
expend,v.花费；用光
expenditure,n.消耗，支出
expertise,n.专门技术，专业知识
expiate,v.赎罪，补偿
expiration,n.期满，终止
expire,v.期满；去世
explicate,v.详细解说
explicit,a.清楚明确的
exploit,v.剥削；开发利用；n.英勇行为
explosive,n.炸药；a.爆炸性的；使人冲动的
exponent,n.说明者，支持者；指数
exponentially,adv.指数地；迅速增长地
exposition,n.阐释；博览会
expository,a.说明的
expostulate,v.(对人或行为进行)抗议，告诫
exposure,n.暴露，显露，曝光
expound,v.解释；阐述
expressly,adv.清楚地；特意地
expunge,v.删除
expurgate,v.删除；使纯洁
exquisite,a.精致的；近乎完美的
extant,a.现存的，传世的
extemporaneous,a.即席的，没有准备的
extemporize,v.即席演说
extend,v.延展，延长
extenuate,v.掩饰(罪行)，减轻罪过
exterminate,v.消灭，灭绝
externalize,v.使…表面化
extinct,a.绝种的，不存在的
extinction,n.熄灭；消灭
extinguish,v.使…熄灭；使…不复存在
extirpation,n.根除，铲除
extol,v.赞美
extort,v.强索，敲诈
extract,v.拔出；强索
extraneous,a.外来的；无关的
extrapolate,v.预测，推测
extravagance,n.奢侈，挥霍
extremist,n.极端主义者
extricable,a.可解救的，能脱险的
extricate,v.拯救，救出
extrovert,n.性格外向者
exuberance,n.愉快；茁壮
exuberant,a.(人)充满活力的(植物)茂盛的
exude,v.使慢慢流出；四溢
exult,v.欢腾，喜悦
fabric,n.纺织品；结构
fabricate,v.捏造；制造
facade,n. 建筑物的正面；(虚伪)外表
facet,n.(宝石等的)小平面；侧面
facetious,a.轻浮的，好开玩笑的
facile,a.容易做的；肤浅的
facilitate,v.使容易，促进
facilities,n.(使事情便利的)设备、工具
faction,n.派系；派系斗争
factorable,a.能分解成因子的
factotum,n.杂役，听差
factual,a.真实的，事实的
faculty,n.全体教员；官能
fad,n.(流行一时的)狂热，时尚
faddish,a.流行一时的，时尚的
fade,v.褪色，消失，凋谢
falcon,n.猎鹰；隼
fallacious,a.欺骗的；谬误的
fallacy,n.谬误，错误
fallibility,n.易于出错，出错性
fallible,a.会犯错的，易犯错的
fallow,n.休耕地；a.(土地)休耕的
falsehood,n.谎言
falter,v.摇晃，蹒跚；支吾地说
familiarity,n.精通；亲近；不拘礼仪
famine,n.饥荒
famish,v.使饥饿
fanatic,n.狂热者
fang,n.(毒蛇的)尖牙
fantasy,n.想象，幻想
farce,n.闹剧；荒谬胡闹
farewell,interj.再会，再见；n.辞行，告别
far-reaching,a.影响深远的
fast,n.绝食，斋戒；adv.很快地，紧紧地
fasten,v.使…固定(to fix sth. firmly)
fastidious,a.难取悦的，挑剔的
fastness,n.要塞，城堡
fatal,a.致命的；灾难性的
fathom,n.英寻(量水深用，相当于1.83米)；v.彻底明白，了解
fatigue,n.疲乏，劳累
fatten,v.使长肥；使土壤肥沃；装满
fatuity,n.愚蠢，愚昧
fatuous,a.愚昧而不自知的
faucet,n.水龙头
fault,n.错误；(地质学)断层
faultfinder,n.喜欢挑剔的人
favorable,a.有利的；赞成的
fawn,n.未满周岁的小鹿；v.巴结，奉承
faze,v.使…狼狈，折磨
feasible,a.可行的，可能的
feat,n.功绩，壮举
feature,n.特色，特点，特征
feckless,a.无目标无计划的
fecundity,n.多产，富饶；繁殖力，生殖力
feeble,a.虚弱的
feedback,n.(信息的)反馈
feign,v.假装，伪装
feigned,a.假装的；不真诚的
feint,v./n.佯攻，佯击
felicitous,a.(话语等)适当的，得体的
fell,n.兽皮；v.砍伐；a.凶猛的，可怕的
felon,n.重罪犯
felony,n.重罪
feminist,n.女权运动者
fender,n.挡泥板；护舷的垫子等
feral,a.凶猛的，野的
ferment,v./n.(使)发酵；骚动
fermentation,n.发酵
fern,n.羊齿植物，蕨
ferret,n.雪貂；v.用雪貂猎取；搜寻
ferrous,a.含铁的
fertile,a.多产的；肥沃的
fertilize,v.受精，受粉；施肥
fertilizer,n.肥料，化肥
fervid,a.炽热的，热情的
fervor,n.热诚，热心
fester,v.(指伤口)溃烂，化脓
festive,a.欢乐的
fetid,a.有恶臭的
fetter,n./v.(带)脚镣；束缚
