abandon  vt.放弃,遗弃;n.放任,狂热                
definitely  adv.明确地,干脆地                
definition  n.定义,解说,精确度,(轮廓影像等的)清晰度                
definitive  adj.最后的,确定的,权威性的                
defy  vt.不服从,公然反抗,藐视,挑衅,违抗,使...难于;n.挑战                
degenerate  adj.退化的;v.退化                
degrade  v.(使)降级,(使)堕落,(使)退化                
deliberate  adj.深思熟虑的,故意的,预有准备的;v.商讨                
delicate  adj.精巧的,精致的,病弱的,脆弱的,微妙的,棘手的,灵敏的,精密的                
demand  n.要求,需求(量),需要;v.要求,需要,要求知道,查询                
demonstrate  vt.示范,证明,论证;vi.示威                
denial  n.否认,否定,谢绝,拒绝                
denote  vt.指示,表示                
denounce  vt.公开指责,公然抨击,谴责                
dentist  n.牙科医生                
deny  v.否认,拒绝                
depict  vt.描述,描写                
deport  vt.举止,驱逐                
depress  vt.使沮丧,使消沉,压下,压低,使不活泼,使萧条;v.压下                
depression  n.沮丧,消沉,低气压,低压                
deprive  vt.剥夺,使丧失                
derive  vt.得自;vi.起源                
descend  vi.下来,下降,遗传(指财产,气质,权利),突击,出其不意的拜访;v.下去              
descendant  n.子孙,后裔,后代                
descent  n.降下,降落,世系,血统,侵袭                
describe  vt.描写,记述,形容,形容;v.描述                
deserve  vt.应受,值得;v.应受                
design  n.设计,图案,花样,企图,图谋,(小说等的)构思,纲要;v.设计,计划,谋划,构思              
designate  vt.指明,指出,任命,指派;v.指定,指派                
desirable  adj.值得要的,合意的,令人想要的,悦人心意的                
desire  vt.想望,期望,希望,请求(官方丈礼);n.愿望,心愿,要求;v.要求                
despise  vt.轻视                
despite  prep.不管,尽管,不论                
destination  n.目的地,[计]目的文件,目的单元格                
destined  adj.去往…的                
destiny  n.命运,定数                
destruction  n.破坏,毁灭                
destructive  adj.破坏(性)的                
detach  vt.分开,分离,分遣,派遣(军队)                
detail  n.细节,详情;vt.详述,细说;                
detain  v.拘留,留住,阻止                
detect  vt.察觉,发觉,侦查,探测;v.发现                
detection  n.察觉,发觉,侦查,探测,发现                
detective  n.侦探;adj.侦探的                
deteriorate  v.(使)恶化                
deviate  vi.背离,偏离;v.偏离                
device  n.装置,设计,图案,策略,发明物,设备;[计]安装设备驱动程序                
devise  vt.设计,发明,图谋,作出(计划),想出(办法),遗赠给;n.遗赠                
devote  vt.投入于,献身                
diagnose  v.诊断                
dictate  v.口述,口授,使听写,指令,指示,命令,规定;n.指示(指理智,变心)                
differentiate  v.区别,区分                
digest  n.分类,摘要;vi.消化;vt.消化,融会贯通
diffuse  v.散播,传播,漫射,扩散,(使)慢慢混合;adj.散开的,弥漫的
dignity  n.尊严,高贵                
dilemma  n.进退两难的局面,困难的选择                
diligent  adj.勤勉的,用功的,细心而继续不断的                
dilute  v.冲淡,变淡,变弱,稀释;adj.淡的,弱的,稀释的                
dim  adj.暗淡的,模糊的,无光泽的,悲观的,怀疑的;vt.使暗淡,使失去光泽;n.<美俚>笨蛋、傻子            
dimension  n.尺寸,尺度,维(数),度(数),元                
diminish  v.(使)减少,(使)变小                
dine  vi.吃饭,进餐                
diploma  n.文凭,毕业证书,证明权力、特权、荣誉等的证书,奖状                
diplomat  n.外交官,有外交手腕的人,有权谋的人                
directory  n.姓名地址录,目录                
disable  v.使残废,使失去能力,丧失能力                
disaster  n.灾难,天灾,灾祸                
disastrous  adj.损失惨重的,悲伤的                
discard  vt.丢弃,抛弃;v.放弃                
discern  v.目睹,认识,洞悉,辨别,看清楚                
discharge  vt.卸下,放出,清偿(债务),履行(义务),解雇,开(炮),放(枪),射(箭);vi.卸货,流注;n.卸货,流出,放电          
discipline  n.纪律,学科;v.训练                
disclose  vt.揭露,透露                
discount  n.折扣                
discreet  adj.小心的,慎重的,有思虑的,贤明的                
discrepancy  n.相差,差异,矛盾                
discrete  adj.不连续的,离散的                
discriminate  v.歧视,区别,区别待遇                
disease  n.疾病,弊病                
disguise  v.假装,伪装,掩饰;n.伪装                
disgust  n.厌恶,嫌恶;vi.令人厌恶,令人反感;vt.使作呕                
dismay  n.沮丧,惊慌;v.使沮丧,使惊慌                
dismiss  vt.解散,下课,开除,解职,使(或让)离开;vi.解散                
disorder  n.杂乱,混乱,无秩序状态;vt.扰乱,使失调,使紊乱                
dispatch  vt.分派,派遣;n.派遣,急件                
disperse  v.(使)分散,(使)散开,疏散                
displace  vt.移置,转移,取代,置换;v.转移                
display  vt.陈列,展览,显示;n.陈列,展览,显示,显示器                
disposal  n.处理,处置,布置,安排,配置,支配                
dispose  v.处理,处置,部署;vt.布置,安排,除去,使愿意                
disposition  n.部署                
disregard  v.不理漠视;n.漠视,忽视                
disrupt  v.使中断,使分裂,使瓦解,使陷于混乱,破坏                
dissipate  v.驱散,(使)(云、雾、疑虑等)消散,浪费(金钱或时间)                
distill  vt.蒸馏,提取;vi.滴下                
distinct  adj.清楚的,明显的,截然不同的,独特的                
distinguish  v.区别,辨别                
distort  vt.弄歪(嘴脸等),扭曲,歪曲(真理、事实等),误报                
distract  v.转移                
distribution  n.分配,分发,配给物,销售,法院对无遗嘱死亡者财产的分配,分布状态,区分,分类,发送,发行            
disturbance  n.骚动,动乱,打扰,干扰,骚乱,搅动                
diverse  adj.不同的,变化多的                
diversion  n.转移,转换,牵制,解闷,娱乐                
divert  v.转移,转向,使高兴                
divine  adj.神的,神圣的,非凡的,超人的,非常可爱的;n.牧师                
divorce  n.离婚,脱离;vt.使离婚,与...脱离                
dizzy  adj.(指人)晕眩的,昏乱的,(指地点,情况)使人晕眩的                
dock  n.<美>码头,船坞,被告席,尾巴的骨肉部分;vt.靠码头,引入坞,剪短;vi.入船坞              
doctrine  n.教条,学说                
dodge  v.避开,躲避;n.<俗>诡计,躲藏                
dole  n.施舍品,悲哀,失业救济金;vt.发放救济                
dolphin  n.海豚                
domain  n.领土,领地,(活动、学问等的)范围,领域                
dome  n.圆屋顶                
domestic  adj.家庭的,国内的,与人共处的,驯服的                
dominant  adj.有统治权的,占优势的,支配的;adj.[生物]显性的                
dominate  v.支配,占优势                
donate  v.捐赠,赠予                
donation  n.捐赠品,捐款,贡献                
doom  n.厄运,毁灭,死亡,世末日;v.注定,判决;著名的3D动作游戏                
doubtless  adj.无疑的,确定的;adv.无疑地,确定地,<口>大概、多半                
draft  n.草稿,草案,草图;vt.起草,为...打样,设计;v.草拟                
drag  v.拖,拖曳,缓慢而费力地行动;n.拖拉                
drain  n.排水沟,消耗,排水;vt.排出沟外,喝干,耗尽;vi.排水,流干                
drainage  n.排水,排泄,排水装置,排水区域,排出物,消耗                
dramatic  adj.戏剧性的,生动的                
drastic  adj.激烈的,(药性等)猛烈的                
drawback  n.缺点,障碍,退还的关税,退税(指进口货物再出口时退还其进口时的关税)              
dread  n.恐惧,恐怖,可怕的人(或物),畏惧;v.惧怕,担心                
dreadful  adj.可怕的,<口>讨厌的                
drill  n.钻孔机,钻子,播种机,军事训练,操练,(反复)练习,条播机;v.训练,钻孔,条播              
drought  n.干旱,缺乏                
dual  adj.双的,二重的,双重                
dub  vt.[电影]配音,轻点,授予称号,打击;n.鼓声,笨蛋                
dubious  adj.可疑的,不确定的                
duplicate  adj.复制的,副的,两重的,两倍的,完全相同;n.复制品,副本;vt.复写,复制,使加倍,使成双            
dwarf  n.矮子,侏儒;v.(使)变矮小                
dwell  vi.居住,踌躇                
eagle  n.鹰,鹰状标饰                
Easter  n.[宗](耶稣)复活节                
eccentric  adj.古怪;n.行为古怪的人                
eclipse  n.食,日蚀,月蚀,蒙蔽,衰落;vt.引起日蚀,引起月蚀,超越,使黯然失色              
ecology  n.生态学,[社会]环境适应学,均衡系统                
economic  adj.经济(上)的,产供销的,经济学的                
economical  adj.节约的,经济的                
economy  n.经济,节约,节约措施,经济实惠,系统,机体,经济制度的状况                
edible  adj.可食用的                
effective  adj.有效的,被实施的,给人深刻印象,有生力量                
efficiency  n.效率,功效                
efficient  adj.(直接)生效的,有效率的,能干的                
ego  n.自我,利已主义,自负                
eject  vt.逐出,撵出,驱逐,喷射;n.推断的事物                
elaborate  adj.精心制作的,详细阐述的,精细;vt.精心制作,详细阐述;v.详细描述              
elapse  vi.(时间)过去,消逝;v.流逝                
elastic  adj.弹性的                
electric  adj.电的,导电的,电动的,电气                
electrical  adj.电的,有关电的                
electrician  n.电工,电学家                
electricity  n.电流,电,电学                
electron  n.电子                
electronic  adj.电子的                
elegant  adj.文雅的,端庄的,雅致的,<口>上品的,第一流的                
element  n.要素,元素,成分,元件,自然环境                
elementary  adj.初步的,基本的,[化]元素的,自然力的                
elevate  vt.举起,提拔,振奋,提升...的职位                
elicit  vt.得出,引出,抽出,引起                
eligible  adj.符合条件的,合格的                
eliminate  vt.排除,消除;v.除去                
elite  n.<法>[集合名词]精华,精锐,中坚分子                
eloquent  adj.雄辩的,有口才的,动人的,意味深长的                
embark  v.上船,上飞机,着手,从事,装于船上,登上                
embarrass  vt.使困窘,使局促不安,阻碍,麻烦                
embed  vt.使插入,使嵌入,深留,嵌入,[医]包埋                
embody  vt.具体表达,使具体化,包含,收录                
emerge  vi.显现,浮现,暴露,形成,(由某种状态)脱出,(事实)显现出来                
emergency  n.紧急情况,突然事件,非常时刻,紧急事件                
emotion  n.情绪,情感,感情                
emphasis  n.强调,重点                
emphasize  vt.强调,着重;v.强调                
empirical  adj.完全根据经验的,经验主义的,[化]实验式                
employment  n.雇用,使用,利用,工作,职业                
enclosure  n.围住,围栏,四周有篱笆或围墙的场地                
encounter  v.遭遇,遇到,相遇;n.遭遇,遭遇战                
encourage  vt.鼓励,怂恿;v.鼓励,鼓励                
endeavor  n.努力,尽力;vi.尽力,努力                
endow  v.捐赠,赋予                
endurance  n.忍耐(力),持久(力),耐久(性)                
endure  v.耐久,忍耐                
energetic  adj.精力充沛的,积极的                
enforce  vt.强迫,执行,坚持,加强                
engage  vt.使忙碌,雇佣,预定,使从事于,使参加;vi.答应,从事,交战,[机]接合,啮合              
engagement  n.约会,婚约,诺言,交战,接站,雇拥,[机]接合                
engine  n.发动机,机车,火车头                
enhance  vt.提高,增强;v.提高                
enlighten  vt.启发,启蒙,教导,授予...知识,开导,<古>照耀                
enormous  adj.巨大的,庞大的,<古>极恶的,凶暴的                
enrich  vt.使富足,使肥沃,装饰,加料于,浓缩                
enroll  v.[亦作enrol]登记,招收,使入伍(或入会、入学等),参加,成为成员                
ensue  vi.跟着发生,继起;vt.(基督教《圣经》用语)追求                
entail  vt.使必需,使蒙受,使承担,遗传给;n.[建]限定继承权                
entertainment  n.款待,娱乐,娱乐表演                
enthusiasm  n.狂热,热心,积极性,激发热情的事物                
enthusiastic  adj.热心的,热情的                
entitle  vt.给...权利(或资格),给...题名,给...称号;v.授权,授权                
entity  n.实体                
entrepreneur  n.<法>企业家,主办人                
environment  n.环境,外界                
envisage  v.正视                
epoch  n.新纪元,时代,时期,时间上的一点,[地质]世                
equality  n.等同性,同等,平等,相等,等式                
equator  n.赤道,赤道似的圈.圆                
equip  vt.装备,配备,训练,准备行装                
equivalent  adj.相等的,相当的,同意义的;n.等价物,相等物                
erect  adj.直立的,竖立的,笔直的;vt.盖,使竖立,使直立,树立,建立;vi.[生理]勃起              
erosion  n.腐蚀,侵蚀                
erroneous  adj.错误的,不正确的                
erupt  vt.喷出;vi.爆发                
escort  n.护卫(队),护送,陪同(人员),护卫队;v.护卫,护送,陪同                
essence  n.基本,[哲]本质,香精                
essential  adj.本质的,实质的,基本的,提炼的,精华的;n.本质,实质,要素,要点                
establish  vt.建立,设立,安置,使定居,使人民接受,确定;v.建立                
esthetic  adj.感觉的                
estimate  v.&n.估计,估价,评估                
eternal  adj.永恒的,永远的,不灭的,没完没了的                
ethnic  adj.人种的,种族的,异教徒的                
evaluate  vt.评价,估计,求...的值;v.评价                
evidence  n.明显,显著,明白,迹象,根据,[物]证据,证物                
evident  adj.明显的,显然的                
evil  adj.邪恶的,带来麻烦的,不幸的,有害的,诽谤的;n.邪恶,不幸,罪恶                
evoke  vt.唤起,引起,博得                
evolution  n.进展,发展,演变,进化                
exaggerate  v.夸大,夸张                
exceed  vt.超越,胜过;vi.超过其他                
exception  n.除外,例外,反对,异议                
exceptional  adj.例外的,异常的                
excess  n.过度,剩于,无节制,超过,超额;adj.过度的,额外的                
excessive  adj.过多的,过分的,额外                
exchange  vt.交换,调换,兑换,交流,交易;n.交换,调换,兑换,交流,交易                
exclaim  v.呼喊,惊叫,大声叫                
exclude  vt.拒绝接纳,把...排除在外,排斥                
exclusive  adj.排外的,孤高的,唯我独尊的,独占的,唯一的,高级的                
excursion  n.远足,游览,短程旅行,远足队,离题,[物]偏移,漂移                
execute  vt.执行,实行,完成,处死,制成,[律]经签名盖章等手续使(证书)生效                
execution  n.实行,完成,执行,死刑,制作,(武器等的)破坏效果,杀伤力                
executive  adj.实行的,执行的,行政的;n.执行者,经理主管人员                
exemplify  vt.例证,例示,作为...例子                
exempt  v.免除;adj.被免除的                
exert  vt.尽(力),施加(压力等),努力;v.发挥,竭尽全力,尽                
exhaust  vt.用尽,耗尽,抽完,使筋疲力尽;vi.排气;n.排气,排气装置;adj.用不完的,不会枯竭的            
exhibit  vt.展出,陈列;n.展览品,陈列品,展品;v.展示                
exile  n.放逐,充军,流放,流犯,被放逐者;vt.放逐,流放,使背井离乡                
existence  n.存在,实在,生活,存在物,实在物                
exotic  adj.异国情调的,外来的,奇异的                
expand  vt.使膨胀,详述,扩张;vi.张开,发展                
expansion  n.扩充,开展,膨胀,扩张物,辽阔,浩瀚                
expedition  n.远征,探险队,迅速,派遣                
expel  v.驱逐,开除,排出,发射                
expend  vt.花费,消耗,支出,[海]把(暂时不用的绳)绕在杆上                
expenditure  n.支出,花费                
expense  n.费用,代价,损失,开支,费钱之物                
expert  n.专家,行家,[军](特等)射手;adj.老练的,内行的,专门的;vt.在...中当行家,当专家            
expertise  n.专家的意见,专门技术                
expire  v.期满,终止,呼气,断气,届满                
explicit  adj.外在的,清楚的,直率的,(租金等)直接付款的                
exploit  vt.开拓,开发,开采,剥削,用以自肥;v.使用                
explore  v.探险,探测,探究                
expose  vt.使暴露,受到,使曝光;v.揭露                
exposition  n.博览会,展览会,说明,曝露,[戏]展示部分,[音]呈示部                
expression  n.表达,表情,脸色,声调,腔调,榨出,语法,措辞;n.[数]式,表达式,符号              
exquisite  adj.优美的,高雅的,精致的,剧烈的,异常的,细腻的,敏锐的                
extensive  adj.广大的,广阔的,广泛的                
extent  n.广度,宽度,长度,范围,程度,区域,[律]<英>扣押,<美>临时所有权令              
external  adj.外部的,客观的,[医]外用的,外国的,表面的;n.外部,外面                
extinct  adj.熄灭的,灭绝的,耗尽的;vt.<古>使熄灭                
extinguish  vt.熄灭,消灭,压制,使黯然失色,偿清                
extract  n.精,汁,榨出物,摘录,选粹;vt.拔出,榨取,开方,求根,摘录,析取,吸取              
extraordinary  adj.非常的,特别的,非凡的,特派的                
extravagant  adj.奢侈的,浪费的,过分的,放纵的                
extreme  adj.尽头的,极端的,极度的,偏激的,最后的;n.极端,极端的事物                
fabric  n.织品,织物,布,结构,建筑物,构造                
fabricate  vt.制作,构成,捏造,伪造,虚构                
facet  n.(多面体的)面,(宝石等的)刻面,小平面,方面,琢面;vt.在...上刻画              
facilitate  vt.（不以人作主语的）使容易,使便利,推动,帮助,使容易,促进                
factor  n.因素,要素,因数,代理人                
faculty  n.才能,本领,能力,全体教员,(大学的)系,科,(授予的)权力                
faith  n.信任,信念,宗教信仰,忠实,保证,诺言,约定                
fake  n.假货,欺骗;adj.假的;vt.伪造,赝造,捏造,假造,仿造;vi.伪装                
famine  n.饥荒,<古>饥饿,严重的缺乏                
fantastic  adj.幻想的,奇异的,稀奇古怪的,荒谬的,空想的                
fantasy  n.幻想,白日梦                
fascinate  vt.使着迷,使神魂颠倒;vi.入迷,极度迷人的                
fatal  adj.致命的,重大的,命运注定的,不幸的,致命的,毁灭性的                
fatigue  n.疲乏,疲劳,累活,[军]杂役;vt.使疲劳,使心智衰弱;vi.疲劳                
feasible  adj.可行的,切实可行的                
feast  n.节日,盛宴,筵席,宴会,酒席;vt.盛宴,款待,享乐,请客;vi.参加宴会,享受              
feature  n.面貌的一部分(眼,口,鼻等)特征,容貌,特色,特写;vt.是...的特色,特写,放映;vi.起重要作用            
federal  adj.联邦的,联合的,联邦制的,同盟的;n.(南北战争)北部联邦同盟盟员;连邦软件公司,国内正版经销商          
federation  n.同盟,联邦,联合,联盟                
feeble  adj.虚弱的,衰弱的,无力的,微弱的,薄弱的                
fellowship  n.伙伴关系,交情,团体,奖学金,友谊                
feminine  adj.妇女(似)的,娇柔的,阴性的,女性的                
ferry  n.摆渡,渡船,渡口;vt.渡运,(乘渡船)渡过,运送;vi.摆渡,(船)来往行驶              
fertilizer  n.肥料(尤指化学肥料),[动]受精媒介物                
fiction  n.虚构,编造,小说                
figure  n.外形,体形,图形,画像,数字,形状,身份;vt.描绘,塑造,表示,象征,演算,认为;vi.出现,考虑,出名,扮演角色          
finance  n.财政,金融,财政学;vt.供给...经费,负担经费;vi.筹措资金                
financial  adj.财政的,金融的                
finite  adj.有限的,[数]有穷的,限定的                
fitting  adj.适合的,相称的,适宜的;n.试穿,试衣,装配,装置                
fixture  n.固定设备,预定日期,比赛时间,[机]装置器,工作夹具                
flank  n.腰窝,侧面,军队侧翼,侧腹,胁,腰窝肉;vt.在...的侧面,侧翼包围,守侧面;vi.侧面与...相接            
flap  n.拍打,拍打声,副翼;v.拍打,鼓翼而飞,飘动,拉下(帽)的边,扔,掷                
flare  n.闪光,闪耀;vi.闪光,突然烧起来,闪耀;vt.使闪耀,使张开                
flask  n.瓶,长颈瓶,细颈瓶,烧瓶,小水瓶                
flat  adj.平坦的,扁平的,单调的,干脆的,无聊的;adv.平直地,正好,断然地;n.平面,一层,公寓;v.(使)变平,(使)降半音          
flatter  vt.过分夸赞,奉承,阿谀,使高兴,使满意,(画,肖像上的形象)胜过(真人或实物)              
flaw  n.缺点,裂纹,瑕疵,一阵狂风;vt.使破裂,使有缺陷,使无效;vi.生裂缝,变的有缺陷              
flexible  adj.柔韧性,易曲的,灵活的,柔软的,能变形的,可通融的                
fling  n.投,掷,猛冲,暴躁的行动,急冲,嘲弄,讥笑;vt.猛投,抛,掷,使陷入,挥动,嘲笑,扫视;vi.猛冲,直冲,急行          
flip  vt.掷,弹,轻击,鞭等抽打,空翻;vi.用指轻弹,抽打,翻书页(或纸张),蹦跳;n.抛,弹,筋斗;adj.无礼的,冒失的,轻率的          
float  n.漂流物,浮舟,浮萍,彩车;vi.浮动,飘浮,散播,摇摆,(计划等)付诸实行;vt.使漂浮,容纳,淹没,发行,用水注满          
fluctuate  vi.变动,波动,涨落,上下,动摇;vt.使动摇,使波动,使起伏                
flush  n.奔流,晕红,激动,萌芽,活力旺盛,发烧,一手同花的五张牌,惊鸟;adj.挥霍的,直接的,丰足的,泛滥的;adv.齐平地,直接地;vi.(脸)发红,奔涌,充沛,惊飞;vt.淹没,冲洗,使脸红,使齐平,使惊飞,使激动
flutter  n.摆动,鼓翼,烦扰;vi.鼓翼,飘动,悸动,乱跳,烦扰;vt.拍(翅),使焦急              
foam  n.泡沫,水沫,泡沫材料,泡沫橡皮,泡沫塑料;vi.起泡沫,冒汗水,吐白沫;vt.使起泡沫              
focus  n.(兴趣活动)中心,焦点,焦距,[医]病灶,地],震源;vi.聚焦,注视;vt.使集中,在焦点上,定焦点,调焦,集中          
foil  n.箔,金属薄片,[建]叶形片,烘托,衬托;vt.衬托,阻止,挡开,挫败,贴箔于              
fold  n.折,羊栏,折痕,信徒;vt.折叠,包,合拢,抱住,笼罩,调入,交迭;vi.折叠起来,彻底失败            
force  n.力量,武力,精力,魄力,势力,暴力,[复]军队,影响力;vt.强制,强加,(用武力)夺取,使,推动,施加压力          
foremost  adj.(位置或时间)最先的,最初的,最重要的;adv.首要地,首先                
foresee  vt.预见,预知                
forge  v.稳步前进,铸造,伪造                
formal  adj.外形的,正式的,合礼仪的,形式的,整齐匀称的;n.正式的社交活动              
format  n.开本,版式,形式,格式;vt.安排...的格局(或规格),[计]格式化(磁盘)              
formidable  adj.强大的,令人敬畏的,可怕的,艰难的                
formula  n.公式,规则,客套语                
formulate  vt.用公式表示,明确地表达,作简洁陈述;v.阐明                
fort  n.堡垒,边界上的贸易站                
forthcoming  adj.即将来临的;n.来临                
forum  n.古罗马城镇的广场(或市场),论坛,法庭,讨论会                
fossil  n.化石,僵化的事物;adj.化石的,陈腐的,守旧的                
foster  vt.养育,抚育,培养,鼓励,抱(希望);n.养育者,鼓励者                
foul  adj.污秽的,邪恶的,恶劣的;vt.弄脏,妨害,污蔑,犯规;vi.腐烂,犯规,缠结;n.犯规,缠绕;adv.违反规则地,不正当地          
fraction  n.小部分,片断,分数                
fracture  n.破裂,骨折;v.(使)破碎,(使)破裂                
fragile  adj.易碎的,脆的                
fragrance  n.芬芳,香气,香味                
frantic  adj.狂乱的,疯狂的                
fraud  n.欺骗,欺诈行为,诡计,骗子,假货                
frequency  n.频率,周率,发生次数                
frequent  adj.时常发生的,频繁的                
friction  n.摩擦,摩擦力                
fringe  n.边缘,须边,刘海;adj.边缘的,额外的;v.在...上加以缘饰,成为...的边缘              
fuel  n.燃料;vt.加燃料,供以燃料;vi.得到燃料                
fulfill  vt.履行,实现,完成(计划等)                
function  n.官能,功能,作用,职责,典礼,仪式,[数]函数;vi.(器官等)活动,运行,行使职责              
fund  n.资金,基金;v.支助,投资                
fundamental  adj.基础的,基本的;n.基本原则,基本原理                
furious  adj.狂怒的,狂暴的,激烈的,热烈兴奋的,极为激烈                
furnish  vt.供应,提供,装备,布置;v.供给                
furniture  n.家具,设备,储藏物                
furthermore  adv.此外,而且                
fury  n.狂怒,狂暴,激烈,狂怒的人                
fuse  n.保险丝,熔丝;v.熔合                
fusion  n.熔化,熔解,熔合,熔接                
galaxy  n.星系,银河,一群显赫的人,一系列光彩夺目的东西                
gamble  n.冒险;v.赌博,投机,孤注一掷                
garbage  n.垃圾,废物                
garment  n.衣服,外衣,外表                
gasp  vi.喘息,气喘;vt.气吁吁地说                
gauge  n.标准尺,规格,量规,量表;v.测量                
gaze  v.盯,凝视;n.凝视                
gear  n.齿轮,传动装置;v.调整,(使)适合,换档                
generalize  vt.归纳,概括,推广,普及                
generate  vt.产生,发生                
generous  adj.慷慨的,大方的,有雅量的                
genetic  adj.遗传的,起源的                
genuine  adj.真实的,真正的,诚恳的                
geology  n.地质学,地质概况                
gigantic  adj.巨人般的,巨大的                
giggle  v.哈哈地笑;n.傻笑                
given  adj.赠予的,沉溺的,特定的,假设的;vbl.give的过去分词                
glamour  n.[亦作glamor]魔力,魅力;v.迷惑                
glance  vi.扫视,匆匆一看;n.一瞥,眼光,匆匆一看                
gland  n.[解剖]腺,[机械]密封管                
glare  n.眩目的光,显眼,怒目而视,(冰等的表面)光滑的表面;v.闪耀                
gleam  n.微弱的闪光,一丝光线,瞬息的一现;vi.闪烁,隐约地闪现;vt.使发微光,使闪烁              
glide  v.滑行,悄悄地走,(时间)消逝,滑翔;n.滑行,滑翔,滑移,滑音                
glitter  vi.闪闪发光,闪烁,闪光;n.闪光                
gloom  n.阴暗,阴沉;v.(使)变阴暗,优伤地说,繁荣                
gloomy  adj.黑暗的,阴沉的,令人沮丧的,阴郁的                
glow  vi.发光,发热                
gorgeous  adj.华丽的,灿烂的                
gossip  n.闲话,闲谈                
gown  n.长袍,法衣,礼服,睡袍                
gracious  adj.亲切的，和谐的；优美的；雅致的，雍容华贵的 int.（表示惊讶）天哪！              
graduate  n.(大学)毕业生,研究生;v.(使)(大学)毕业                
grain  n.谷物,谷类,谷粒,细粒,颗粒,粮食                
grant  vt.同意,准予,承认(某事为真)～                
graphic  adj.绘画似的,图解的                
grave  n.墓穴,坟墓;adj.严重的,(颜色)黯淡的,(声音)低沉的;v.雕刻,铭记              
graze  v.放牧,吃草,擦伤,擦过;n.放牧,牧草,轻擦,擦破处                
grease  n.油脂,贿赂;vt.涂脂于,<俗>贿赂                
grief  n.悲痛,伤心事,不幸,忧伤                
grieve  v.(使)悲痛,(使)伤心,忧伤                
grim  adj.严酷的                
grin  n.露齿笑,裂口笑;v.露齿而笑                
grip  vt.紧握,紧夹;n.掌握,控制,把手;v.抓住                
groan  n.呻吟,叹息;vi.呻吟,受折磨,受压迫发出嘎吱声;vt.呻吟着说                
groove  n.(唱片等的)凹槽,惯例,最佳状态;vt.开槽于                
grope  v.n.摸索                
gross  adj.总的,毛重的;n.总额                
guarantee  n.保证,保证书,担保,抵押品;vt.保证,担保                
guardian  n.护卫者,保护人,监护人;adj.守护的                
hamper  v.妨碍,牵制                
handbook  n.手册,便览                
handicap  n.障碍,阻碍,障碍赛跑;v.妨碍,使不利,阻碍                
hardy  adj.难的,艰苦的，勇敢的;adv.努力地,辛苦地,坚硬地                
harmony  n.协调,融洽                
hasty  adj.匆忙的,草率的                
hatch  n.孵化,舱口,舱口盖,(门、墙壁、地板上的)开口;vt.孵,孵出,策划,图谋;vi.孵化              
hatred  n.憎恨,乱意,仇恨                
haul  n.用力拖,拖拉,捕获物,努力得到结果,一网捕获鱼量,拖运距离;vi.拖,拉,改变方向,改变主意;vt.拖拉,拖运          
haunt  v.神鬼出没                
hawk  n.鹰,掠夺他人的人,鹰派成员;vi.放鹰,像鹰一般地袭击,清嗓,咳嗽;vt.捕捉,咳出,兜售,(沿街)叫卖,散播          
hazard  n.冒险,危险,冒险的事;vt.冒...的危险,赌运气,使遭危险                
heap  n.堆,大量,许多;vt.堆,堆起;v.堆积                
heave  v.举起;n.举起                
heel  n.脚后跟,踵,跟部                
heighten  v.提高,升高                
heir  n.继承人,后嗣                
hemisphere  n.半球                
henceforth  adv.自此以后,今后                
herb  n.药草,香草                
heritage  n.遗产,继承权,传统                
hesitate  v.犹豫,踌躇,不愿                
hierarchy  n.层次,层级                
highlight  n.加亮区,精彩场面,最显著(重要)部分;vt.加亮,使显著,以强光照射,突出              
hike  v.远足,飞起,步行;n.远足,增加                
hinder  adj.后面的;v.阻碍,打扰                
hinge  n.（门、盖等的）铰链,枢纽,关键;vt.装铰链;v.装以绞链,依...而转移              
historian  n.历史学家,史家                
hitherto  adv.迄今,至今                
hoist  n.提升间,升起                
homogeneous  adj.同类的,相似的,均一的,均匀的                
hop  v.单脚跳,(鸟,蛙等)跳跃;n.蛇麻草                
hose  n.软管,水龙带,长筒袜;v.用软管浇水                
hospitality  n.好客,宜人,盛情                
hostage  n.人质,抵押品                
hostile  adj.敌对的,敌方的;n.敌对                
hound  n.猎犬;vt.带猎犬狩猎,卑鄙的人,追捕,激励,使追逐                
household  n.一家人,家庭,家族,王室;adj.家庭的,家族的,家属的,普通的,平常的              
hover  v.盘旋                
howl  v.嚎叫,怒吼,嚎啕大哭,喝住,号叫;n.嚎叫,怒号,嚎哭                
huddle  v.拥挤,卷缩,草率从事,挤作一团;n.杂乱的一堆,拥挤                
hug  n.拥抱                
hum  v.嗡嗡叫,哼;n.嗡嗡声,吵杂声                
humanity  n.人性,人类,博爱,仁慈                
humble  adj.卑下的,微贱的,谦逊的,粗陋的;vt.使...卑下,挫,贬抑                
humidity  n.湿气,潮湿,湿度<美>沼泽中的肥沃高地                
hurl  n.<俚>[棒球]用力或猛烈的投掷;vt.用力投掷,愤慨地说出,丢下,推翻;vi.猛投,猛掷              
hurricane  n.飓风,狂风                
hypothesis  n.假设                
hysterical  a歇斯底里的,异常兴奋的                
ideal  n.理想;adj.理想的,完美的,想象的,观念的,唯心论的                
identical  adj.同一的,同样的                
identificatio  n.辨认,鉴定,证明,视为同一                
identify  vt.识别,鉴别,把...和...看成一样;v.确定                
ideology  n.意识形态                
idiom  n.成语,方言,土语,习惯用语                
idiot  n.白痴,愚人,傻瓜                
ignite  v.点火,点燃                
