abandon [ə'bændən] v./n.放弃；放纵
confess [kən'fes] v.承认，供认
confide [kən'faid] v.（信赖的）倾诉
confidence ['kɔnfidəns] n.信任，自信，信心
confidential [kɔnfi'denʃəl] a.机密的
configuration [kən,fiɡju'reiʃən] n.结构，配置；轮廓
confine ['kɔnfain] v.限制，禁闭
confirm [kən'fə:m] v.证实，证明
confiscate ['kɔnfiskeit] v.没收；充公
conflagration [,kɔnflə'ɡreiʃən] n.建筑物或森林大火
conflate [kən'fleit] v.合并
conflict ['kɔnflikt, kən'flikt] v./n.斗争，战斗；冲突，抵触
conform [kən'fɔ:m] v.符合或遵守公认的规则
conformist [kɔn'fɔ:mist] n.尊奉者，英国国教徒
conformity [kən'fɔ:miti] n.一致，遵从；顺从
confound [kən'faund] v.使迷惑，搞混
confront [kən'frʌnt] v.面临；对抗
congeal [kən'dʒi:l] v.冻结，凝固
congenial [kən'dʒi:njəl] a.意气相投的；性情好的
congest [kən'dʒest] v.使拥挤；充血
conglomerate [kɔn'ɡlɔmərit] v.集聚成团
congregate ['kɔŋɡriɡeit] v.聚集，集合
congruent ['kɔŋɡruənt] a.(形状大小)全等的，一致的
congruous ['kɔŋɡruəs] a.一致的，符合的；[数]全等的
conifer ['kəunifə] n.针叶树
conjecture [kən'dʒektʃə] v./n.推测，臆测
conjoin [kən'dʒɔin] v.使结合
conjunction [kən'dʒʌŋkʃən] n.联合；连词
conjure ['kʌndʒə] v.恳求，祈求；变魔术，变戏法
connive [kə'naiv] v.默许；纵容(错误)；共谋(阴谋)
connoisseur [,kɔni'sə:] n.鉴赏家，行家
connotation [,kɔnəu'teiʃən] n.言外之意，含蓄义
conquer ['kɔŋkə] v.以武力征服
conquest ['kɔŋkwest] n.征服；战利品
conscience ['kɔnʃəns] n.良心，是非感
conscientious [,kɔnʃi'enʃəs] a.小心尽责的；小心谨慎的
conscript ['kɔnskript] v.强行征兵，征召
consensus [kən'sensəs] n.意见一致
consent [kən'sent] v.同意，允许
consequence ['kɔnsikwəns] n.结果；重要性；价值
consequential [,kɔnsi'kwenʃəl] a.傲慢的，自以为是的
conservative [kən'sə:vətiv] a.保守的，守旧的
conservatory [kən'sə:vətri] n.温室；音乐、艺术学院
conserve [kən'sə:v] v.保全，保存
considerable [kən'sidərəbl] a.相当多的；值得考虑的
consign [kən'sain] v.托运；托人看管
consistency [kən'sistənsi] n.一致性；坚实度，可靠性；不矛盾
consistent [kən'sistənt] a.前后一致的
console [kən'səul] v.安慰，抚慰
consolidate [kən'sɔlideit] v.巩固；(使)坚强；合并
consolidation [kən,sɔli'deiʃən] n.合并，巩固
consonant ['kɔnsənənt] a.调和的，一致的
conspicuous [kən'spikjuəs] a.显著的，显而易见的
conspiracy [kən'spirəsi] n.共谋，阴谋
conspire [kən'spaiə] v.阴谋，共谋
constant ['kɔnstənt] a.稳定的，不变的; n.常数
constellation [kɔnstə'leiʃən] n.星座，星群；一群杰出人物
consternation [,kɔnstə(:)'neiʃən] n.大为吃惊，惊骇
constituent [kən'stitjuənt] n.成分；选区内的选民
constitute ['kɔnstitju:t] v.组成，构成；建立
constitution [,kɔnsti'tju:ʃən] n.宪法；人的体质
constitutional [,kɔnsti'tju:ʃənəl] a.章程的，法规的；素质上的，本质的
constrain [kən'strein] v.束缚，强迫；限制
constrained [kən'streind] a.束缚的，节制的
constraint [kən'streint] n.强制，强迫；对感情的压抑
constrict [kən'strikt] v.压缩，收缩
construct [kən'strʌkt] v.建筑，构成
construe [kən'stru:] v.解释；口头翻译
consul ['kɔnsəl] n.领事
consummate [kən'sʌmit；'kɑnsəmet]a.完全的，完善的；v.完成
contact ['kɔntækt] n./v.接触；互通信息
contagious [kən'teidʒəs] a.(病)易传染的；（人、精神）有感染力的
contain [kən'tein] v.包含，含有；控制；阻止，遏制
containment [kən'teinmənt] n.阻止，遏制
contaminate [kən'tæmineit] v.使„受污染(环境，思想)
contemplate ['kɔntempleit] v.深思
contempt [kən'tempt] n./v.轻视，鄙视
contemptible [kən'temptəbl] a.令人轻视的
contemptuous [kən'temptjuəs] a.表示轻蔑的
contend [kən'tend] v.与对手竞争；据理力争
content [kən'tent] a.知足的，满意的；n.内容；满意
contented [kən'tentid] a.心满意足的
contention [kən'tenʃən] n.争论；论点
contentious [kən'tenʃəs] a.好辩的，善争吵的
contest [kən'test] v.竞争；对„表示质疑，对„提出异议
context ['kɔntekst] n.(语句等的)上下文
contiguous [kən'tiɡjuəs] a.接壤的，接近的
continent ['kɔntinənt] a.自我克制的；n.大陆
contingent [kən'tindʒənt] a.意外的；视情况或条件而定的
continuation [kən,tinju'eiʃən] n.继续，延续
contort [kən'tɔ:t] v.(使)扭曲；曲解
contraband ['kɔntrə,bænd] n.违禁品，走私货
contract ['kɔntrækt, kən'trækt] n.合同； v.订合同；收缩
contradict [kɔntrə'dikt] v.反驳，驳斥；与„矛盾，与„相抵触
contradictory [,kɔntrə'diktəri] a.反驳的，反对的，抗辩的；矛盾的
contrast ['kɔntræst] v./n.对比
contravene [,kɔntrə'vi:n] v.违背(法规，习俗等)
contrite ['kɔntrait] a.悔罪的，痛悔的
contrition [kən'triʃ(ə)n] n.悔罪，痛悔
contrive [kən'traiv] v.计划，设计
contrived [kən'traivd] a.不自然的，做作的
control [kən'trəul] n.实验对照组
controversial [,kɔntrə'və:ʃəl] a.引起或可能引起争论的
controvert ['kɔntrə,və:t] v.反驳，驳斥
contumacious [,kɔntju:'meiʃəs] a.（无理）违抗的，不服从的
conundrum [kə'nʌndrəm] n.(答案有双关意义的)谜语；难题
convalesce [,kɔnvə'les] v.(病)康复，复原
convalescent [,kɔnvə'lesnt] a./n.康复中的(病人)
convenience [kən'vi:njəns] n.便利，有益；方便(的用具，机械等)
conventional [kən'venʃənl] a.因循守旧的，传统的
converge [kən'və:dʒ] v.会聚，集中于一点
convergent [kən'və:dʒənt] a.会聚的
conversant [kən'və:sənt] a.精通的，熟知的
converse [kən'və:s] v.谈话；a.逆向的；n.相反的事物
convert [kən'və:t, 'kɔnvə:t] v.使改变(信仰等)；n.改变信仰的人
convertible [kən'və:təbl] a.可转换的；n.敞篷车
convex [kɔn'veks] a.凸出的
convey [kən'vei] v.运载，运送；表达
convict [kən'vikt,'kɔnvikt] v.定罪；n.罪犯
conviction [kən'vikʃən] n.判罪；坚信
convince [kən'vins] v.使某人确信；说服
convivial [kən'viviəl] a.欢乐的，狂欢的
conviviality [kən,vivi'æliti] n.欢乐；爱交际的性格
convoke [kən'vəuk] v.召集
convoluted ['kɔnvəlju:tid] a.盘绕的；复杂的、费解的
convulse [kən'vʌls] v.使震动，震惊
convulsion [kən'vʌlʃən] n.骚动；痉挛
coop [ku:p] n.(鸡)笼，栏
cooperate [kəu'ɔpəreit] v.与他人合作
cooperative [kəu'ɔpərətiv] a.联营的，合作的；愿意协助的
coordinate [kəu'ɔ:dinit] n.同等物；坐标；v.使各部分协调； a.同等的
copious ['kəupjəs] a.丰富的，多产的
cord [kɔ:d] n.考得(木材堆的体积单位，等于立方英尺，.立方米)；绳索
core [kɔ:] n.果心；核心；v.去掉某物的中心部分
cornucopia [,kɔ:nju'kəupjə] n.象征丰收的羊角(羊角装饰器内装满花、果、谷物等以示富饶)
coronation [kɔrə'neiʃ(ə)n] n.加冕
corporate ['kɔ:pərit] a.团体的；共同的
corporeal [kɔ:'pɔ:riəl] a.肉体的，身体的；物质的
corpuscle ['kɔ:pʌs(ə)l] n.血球，细胞
corral [kɔ'rɑ:l] n.(牛、马等)畜栏
correspondent [,kɔris'pɔndənt] a.符合的；n.记者
corroborate [kə'rɔbəreit] v.支持或证实；强化
corrode [kə'rəud] v.腐蚀，侵蚀
corrosive [kə'rəusiv] a.腐蚀性的，腐蚀的，蚀坏的
corrugate ['kɔruɡeit] v.(使)起波浪形，起皱纹
corrugated ['kɔrəɡeitid] a.起皱纹的
corrupt [kə'rʌpt] a.堕落的，腐败的；文体有错误的
cosmic ['kɔzmik] a.宇宙的
cosmopolitan [,kɔzmə'pɔlitən] n.世界主义者，四海为家的人
cosmopolitanism [,kɔzmə'pɔlitənizəm] n.世界性，世界主义
cosmos ['kɔzmɔs] n.宇宙
cosset ['kɔsit] v.宠爱，溺爱
costume ['kɔstju:m] n.服装；剧装
coterie ['kəutəri] n.(有共同兴趣的)小团体
coterminous [kəu'tə:minəs] a.毗连的，有共同边界的
cougar [couɡar] n.美洲豹
countenance ['kauntinəns] v.赞成，批准，支持；容忍；n.面部表情，面貌
counteract [,kauntə'rækt] v.消除，抵消
counterbalance [,kauntə'bæləns] v.起平衡作用
counterfeit ['kauntəfit] v.伪造，仿造
countermand [,kauntə'mɑ:nd] v.撤回(命令)，取消(订货)
counterpart ['kauntəpɑ:t] n.相对应或具有相同功能的人或物
counterproductive['kautəprə,dʌktiv] a.事与愿违的
coup [ku:] n.意外而成功的行动
court [kɔ:t] n.法庭，法院；宫廷，朝廷；v.献殷勤；追求功名
covenant ['kʌvənənt] n.契约；v.立书保证
covert ['kʌvət] a.秘密的，隐密的
covet ['kʌvit] v.贪求，妄想
cow [kau] v.威胁
coward ['kauəd] n.胆小鬼
cower ['kauə] v.(因寒冷或害怕)畏缩，蜷缩
coy [kɔi] a.腼腆的，忸怩的
cozen ['kʌzn] v.欺骗, 哄骗
crab [kræb] n.蟹，螃蟹；v.抱怨，发脾气
crabbed ['kræbid] a.暴躁的
crack [kræk] n.爆裂声；裂缝；v.裂开；破解，破译
craft [krɑ:ft] n.行业；手艺
cram [kræm] v.（超限）填塞，塞满；临时抱佛脚，为考试而学习
cramp [kræmp] n.铁箍，夹子；v.把„箍紧
cranky ['kræŋki] a.怪癖的；不稳的
crass [kræs] a.愚钝的；粗鲁的
crate [kreit] n.篓，板条箱
crater ['kreitə] n.火山口；弹坑
cravat [krə'væt] n.领巾，围巾
craven ['kreivən] a.懦弱的，畏缩的
craving ['kreiviŋ] n.强烈的愿望
crayon ['kreiən] n.彩色腊笔、粉笔或其绘画
crease [kri:s] n.折缝，皱痕
credence ['kri:dəns] n.相信，信任
credible ['kredəbl] a.可信的，可靠的
credit ['kredit] n.赊购；信任；(电影)片头字幕
credulous ['kredjuləs] a.轻信的，易信的
creek [kri:k] n.小湾，小溪
creep [kri:p] v.匍匐前进；悄悄地移动
crescendo [kri'ʃendəu] n.(音乐声音)渐强，高潮
crest [krest] n.山顶，浪尖；（鸟）羽冠
crestfallen ['krestfɔ:lən] a.挫败的，失望的
cringe [krindʒ] v.畏缩；谄媚
cringing ['krindʒiŋ] n./a.谄媚(的)，奉承(的)
criteria [krai'tiəriə] n.评判标准
criterion [krai'tiəriən] n.评判的标准，尺度
critic ['kritik] n.批评者
critical ['kritikəl] a.挑毛病的；关键的，危急的
critique [kri'ti:k] n.批评性的分析
croak [krəuk] n.蛙鸣声；v.发牢骚，抱怨
crochet ['krəuʃei] n.钩针织物；v.用钩针编织
crockery ['krɔkəri] n.陶器，瓦器
cronyism [krəuniizəm] n.(由指政治上)任人唯亲；对好朋友的偏袒
crook [kruk] v.使弯曲；n.钩状物
cross [krɔs] a.生气的
crouch ['krautʃ] v.蹲伏，弯腰
crown [kraun] v.加冕，使成王，居„之顶
crucial ['kru:ʃiəl] a.决定性的
crudity ['kru:diti] n.粗糙，生硬
crumb [krʌm] n.饼屑，面包屑；碎裂的东西
crumble ['krʌmbl] v.弄碎；崩毁
crumple ['krʌmpl] v.弄皱；破裂
crusade [kru:'seid] n.维护理想、原则而进行的运动或斗争
crust [krʌst] n.硬的表面；(一片)面包片；地壳
crutch [krʌtʃ] n.拐杖；v.支撑
crux [krʌks] n.关键，症结所在
cryogenic [,kraiəu'dʒenik] a.低温的，制冷的；低温学的
cryptic ['kriptik] a.秘密的，神秘的
cub [kʌb] n.幼兽；年轻无经验的人
cubicle ['kju:bikl] n.大房间中隔出的小室
cue [kju:] v.暗示，提示；n.暗示，提示
cuisine [kwi(:)'zi:n] n.烹饪
culinary ['kʌlinəri] a.厨房的；烹调的
culmination [kʌlmi'neiʃ(ə)n] n.顶点；最终结果、最终结论
culpable ['kʌlpəbl] a.有罪的，该受谴责的
cult [kʌlt] n.宗派；崇拜
cultivate ['kʌltiveit] v.种植；向„讨好
cultivated ['kʌltiveitid] a.耕种的，栽植的；有修养的
cumbersome ['kʌmbəsəm] a.笨重的
cumulus ['kju:mjuləs] n.积云
cunning ['kʌniŋ] a.善于骗人的；灵巧的；n.欺诈行为
cupidity [kju(:)'piditi] n.贪婪
curator [kjuə'reitə] n.(博物馆等)馆长
curb [kə:b] n.路缘，(街道的)镶边石；马勒；v.控制
curdle ['kə:dl] v.使凝结，变稠
curmudgeon [kə:'mʌdʒən] n.脾气暴躁之人
curriculum [kə'rikjuləm] n.(全部的)课程
cursory ['kə:səri] a.粗略的，草率的
curt [kə:t] a.(言词、行为)简略而草率的
curtail [kə:'teil] v.削减，缩短
cushion ['kuʃən] n.坐垫；v.缓冲
custodian [kʌs'təudjən] n.管理员，监护人
custody ['kʌstədi] n.监护，监管，保管
customary ['kʌstəməri] a.合乎习俗的
cuticle ['kju:tikl] n.表皮
cutlery ['kʌtləri] n.(刀、叉、匙等)餐具
cyclical ['sɑiklikl] a.循环的
cyclone ['saiklon] n.气旋，飓风
cylinder ['silində] n.圆柱
cynic ['sinik] n.犬儒主义者，愤世嫉俗者
cypress ['saipris] n.柏树
cytology [sai'tɔlədʒi] n.[生]细胞学
dabble ['dæbl] v.涉足，浅赏
daft [dɑ:ft] a.傻的
dagger ['dæɡə] n.短剑，匕首
daguerreotype [də'ɡeriəutaip] n.(早期)银版照相
dainty ['deinti] n.精美食品；a.娇美的；挑剔的
dally ['dæli] v.闲荡，嬉戏
damp [dæmp] v.减弱，制止振动；a.潮湿的
damped [dæmpt] a.减震的，压低(声音)的
dampen ['dæmpən] v.(使)潮湿；使沮丧，泼凉水
dandy ['dændi] n.好打扮的男人，花花公子
dapper ['dæpə(r)] a.整洁漂亮的；动作敏捷的
dappled ['dæpl(ə)d] a.有斑点的，斑驳的
daredevil ['deə,devl] a./n.胆大的(人)，冒失的(人)
dart [dɑ:t] n.飞镖；v.急驰；投射
daunt [dɔ:nt] v.使胆怯，使畏缩
dawdle ['dɔ:dl] v.闲荡，虚度
deactivate [di:'æktiveit] v.使无效
deaden ['dedn] v.减低某物的力量或强度
deadlock ['dedlɔk] n.相持不下，僵局
deadpan ['dedpæn] a./n.无表情的(脸)
dealing ['di:liŋ] n.生意行为；作风
dearth [də:θ] n.缺乏，短缺
debacle [dei'bɑ:kl] n.解冻；崩溃
debark [di'bɑ:k] v.下船，下飞机，下车，卸载
debase [di'beis] v.贬低，贬损
debate [di'beit] n.正式的辩论，讨论
debilitate [di'biliteit] v.使衰弱
debouch [di'bautʃ] v.流出，进入(开阔地区)
debrief [di'bri:f] v.向„询问情况，听取汇报
debris [də'bri:] n.废墟，残骸
debunk [di:'bʌŋk] v.揭穿真相，暴露（坏事，贬义）
debut ['deibju:] n.（演员）初次登台，初次露面
decadence ['dekədəns] n.衰落，颓废
deceit [di'si:t] n.欺骗，欺诈
decency ['di:snsi] n.正派，端庄
decent ['di:snt] a.适当的，可接受的；得体的
deception [di'sepʃən] n.欺骗手段
decibel ['desibel] n.分贝(音量的单位)
deciduous [di'sidʒjuəs] a.非永久的；短暂的；脱落的；落叶的
decimate ['desimeit] v.毁掉大部分；大量杀死
decipher [di'saifə] v.解开(疑团)；破译(密码)
declaim [di'kleim] v.高谈阔论
declamation [,deklə'meiʃən] n.雄辩，高调
decline [di'klain] v.拒绝；变弱，变小；n.消减
decode [,di:'kəud] v.译解(密码)
decompose [,di:kəm'pəuz] v.(使)腐烂
decomposition [,di:kɔmpə'ziʃən] n.分解，腐烂，崩溃
decorate ['dekə,ret] v.装饰某事物
decorum [di'kɔ:rəm] n.礼节，礼貌
decrepit [di'krepit] a.衰老的，破旧的
decry [di'krai] v.责难；贬低(价值)
dedication [,dedi'keiʃən] n.对某事业或目的的忠诚
deduce [di'dju:s] v.演绎，推断
deduct [di'dʌkt] v.减去，扣除；演绎
deductive [di'dʌktiv] a.推理的，演绎的
deed [di:d] n.行为；(土地或建筑物的)转让契约、证书
deface [di'feis] v.损坏（外观）
default [di'fɔ:lt] v./n.拖债；未履行的责任
defeatist [di'fi:tist] n.失败主义者
defect [di'fekt] n.缺点，瑕疵；v.变节，脱党
defendant [di'fendənt] n.被告
defense [di'fens] n.防御，防护
defer [di'fə:] v.推延；听从
deference ['defərəns] n.敬意，尊重
deferential [,difə'renʃəl] a.顺从的，恭顺的
defiance [di'faiəns] n.挑战，违抗，反抗
deficiency [di'fiʃənsi] n.缺陷；不足
deficit ['defisit] n.不足，赤字
defile [di'fail] v.弄污，弄脏；n.(山间)小道
defined [di'faind] a.定义的；清晰的
definite ['definit] a.清楚的，明确的
definition [,defi'niʃən] n.(轮廓等)清晰；定义
definitive [di'finitiv] a.明确的，有权威的
deflated [di'fleitid] a.灰心丧气的
deflect [di'flekt] v.偏离，转向
defoliator [di'fəulieitə] n.落叶剂
deforestation [di,fɔris'teiʃən] n.采伐森林
defraud [di'frɔ:d] v.欺骗某人
deft [deft] a.灵巧的，熟练的
defuse [di:'fju:z] v.从(爆破装置)中卸除引信；缓和紧张状态或危急局面
defy [di'fai] v.违抗，藐视
degradation [,deɡrə'deiʃən] n.降低身份，受辱
dehydrate [di:'haidreit] v.除去水分，脱水
deify ['di:ifai] v.奉为神；崇拜
deign [dein] v.屈尊，惠允(做某事)
dejected [di'dʒektid] a.沮丧的，失望的
delectable [di'lektəbl] a.（食物）赏心悦目的
delegate ['deliɡit] n.代表；v.委派„为代表，授权
deleterious [,deli'tiəriəs] a.(对身心)有害的，有毒的
deliberate [di'libəreit] a.深思熟虑的;故意的；v.慎重考虑
delicacy ['delikəsi] n.细嫩；精致，优雅
delicate ['delikit] a.娇嫩的；精致的，优美的
delimit [di:'limit] v.定界，划界
delineate [di'linieit] v.描画
delinquency [di'liŋkwənsi] n.失职，过失
delinquent [di'liŋkwənt] a.疏忽职务的
delirious [di'liriəs] a.精神错乱的
delirium [di'liriəm] n.精神错乱
delta ['deltə] n.三角洲
delude [di'lu:d] v.欺骗，哄骗
deluge ['delju:dʒ] n.大洪水；暴雨
delusion [di'lu:ʒən] n.欺骗，幻想
delve [delv] v.深入探究，钻研
demagogue ['deməɡɔɡ] n.蛊惑民心的政客
demand [di'mɑ:nd] v.要求，苛求
demanding [di'mɑ:ndiŋ] a.苛刻的，过分要求的
demean [di'mi:n] v.贬抑，降低（身份）
demise [di'maiz] n.死亡；财产转让
demography [di:'mɔɡrəfi] n.人口统计，人口学
demolish [di'mɔliʃ] v.破坏；拆除
demolition [,demə'liʃən] n.破坏，毁坏
demonstrate ['demənstreit] v.证明，论证；示威
demonstrative [di'mɔnstrətiv] a.证明性的；喜怒形于色的
demoralize [di'mɔrəlaiz] v.使士气低落
demote [di'məut] v.降级，降职
demotic [di(:)'mɔtik] a.民众的，通俗的
demur [di'mə:] v.表示异议，反对
demystify [di:'mistifai] v.弄清楚
den [den] n.兽穴，窝
denigrate ['deniɡreit] v.污蔑，诽谤
denim ['denim] n.粗斜纹棉布
denizen ['denizn] n.居民；外籍居民
denomination [di,nɔmi'neiʃən] n.命名；(长度，币值的)单位
denote [di'nəut] v.表示；指示意义
denouement [dei'nu:mɔŋ] n.(小说的)结尾，结局
denounce [di'nauns] v.指责
dent [dent] n.缺口，凹痕；v.弄凹
denture ['dentʃə] n.假牙
denude [di'nju:d] v.脱去；剥蚀；剥夺
denunciation [di,nʌnsi'eiʃ(ə)n] n.谴责，斥责
depict [di'pikt] v.描绘，描画
deplete [di'pli:t] v.倒空；耗尽
deplore [di'plɔ:] v.悲悼，哀叹
deport [di'pɔ:t] v.(将外国人、罪犯等)驱逐出境
deportation [,dipɔ:'teiʃən] n.驱逐出境
depose [di'pəuz] v.免职；作证
deposition [,depə'ziʃən] n.免职；沉积；作证
depraved [di'preivd] a.堕落的，腐化的
depravity [di'præviti] n.堕落，恶习
deprecate ['deprikeit] v.反对，轻视
depreciate [di'pri:ʃieit] v.轻视；贬值
depressed [di'prest] a.消沉的；凹陷的
depression [di'preʃən] n.忧愁，消沉；数量减少
deprivation [,depri'veiʃən] n.剥夺；缺乏
deputy ['depjuti] n.代表；副警长
deracinate [di'ræsineit] v.根除，杜绝
deranged [di'reindʒd] a.精神错乱的，有精神病的
derelict ['derilikt] a.荒废的；玩忽职守的；n.被(社会、家庭)遗弃的人
dereliction [deri'likʃən] n.遗弃，弃置
deride [di'raid] v.（轻蔑）嘲笑，愚弄
derivation [deri'veiʃən] n.发展，起源；词源
derivative [di'rivətiv] a.派生的；无创意的
dermatologist [,də:mə'tɔlədʒist] n.皮肤病学家
derogate ['derəɡeit] v.贬低，诽谤
derogatory [di'rɔɡətəri] a.不敬的，诽谤的
descend [di'send] v.下来，下降
descendant [di'send(ə)nt] n.后代，后裔
descent [di'sent] n.降落；突然侵袭；血统
descry [dis'krai] v.远远看到，望见
desecrate ['desikreit] v.玷辱，亵渎
desert [di'zə:t] v.放弃，离弃
deserted [di'zə:tid] a.荒芜的，无人的
deserter [di'zə:tə] n.背弃者，逃亡者
desertion [di'zə:ʃən] n.离弃，遗弃
desiccate ['desikeit] v.(使)完全干涸，脱水
designation [,deziɡ'neiʃən] n.指定；名称，称呼
designer [di'zainə] n.设计者，构思者
desirable [di'zaiərəbl] a.值得要的
desperate ['despərit] a.不顾死活的，拼命的
despicable ['despikəbl] a.可鄙的，卑劣的
despise [dis'paiz] v.鄙视，藐视
despondent [dis'pɔndənt] a.失望的，意气消沉的
despot ['despɔt] n.暴君
despotic [des'pɔtik] a.专横的，暴虐的
despotism ['despətizəm] n.专制，暴政
destitution [,desti'tju:ʃən] n.匮乏，穷困
desultory ['desəltəri] a.不连贯的，散乱的
detach [di'tætʃ] v.分离...，拆下...；(士兵、舰船)派遣，分遣
detached [di'tætʃt] a.分开的；公平的，中立的
detain [di'tein] v.拘留；使延迟
detection [di'tekʃən] n.查出，探获
deter [di'tə:] v.威慑，吓住；阻止
detergent [di'tə:dʒənt] a.洗涤的，去污的；n.清洁剂
deteriorate [di'tiəriəreit] v.(使)变坏，恶化
deterioration [di,tiəriə'reiʃən] n.恶化，堕落
determinant [di'tə:minənt] n.决定因素；a.决定性的
determination [di,tə:mi'neiʃən] n.决心；确定；预测
detest [di'test] v.深恶，憎恶
detonation [,detəu'neiʃən] n.爆炸(声)
detour ['di:tuə(r)] n.弯路；绕行之路
detraction [di'trækʃən] n.贬低，诽谤
detrimental [,detri'mentl] a.损害的，造成伤害的
detritus [di'traitəs] n.碎屑；废墟
devastate ['devəsteit] v.摧毁，破坏
deviant ['di:viənt] a.越出常规的
deviate ['di:vieit] v.越轨，脱离
deviation [,di:vi'eiʃən] n.背离正道
devious ['di:vjəs] a.不正直的；弯曲的
devise [di'vaiz] v.发明，设计；图谋；遗赠给
devoid [di'vɔid] a.空的；缺少的
devoted [di'vəutid] a.投入的，热爱的
devotee [,devəu'ti:] n.爱好者
devotional [di'vəuʃənəl] a.献身的，崇拜的
devour [di'vauə] v.吞食；贪婪地看
devout [di'vaut] a.(对宗教)虔敬的；(对事业)忠诚的，忠心的
dexterity [deks'teriti] n.纯熟，灵巧
dexterous ['dekstərəs] a.灵巧的，熟练的
diabetes [,daiə'bi:ti:z] n.糖尿病
diabolical [daiə'bɔlikəl] a.恶毒的，狠毒的
diagnose ['daiəɡnəuz] v.判断，诊断
diagonal [dai'æɡənl] a.对角的；n.对角线
diagram ['daiəɡræm] n.图解，图表
dialect ['daiəlekt] n.方言
diameter [dai'æmitə] n.直径
diaphanous [dai'æfənəs] a.精致的，透明的
diatribe ['daiətraib] n.(口头或书面猛烈的)抨击
dictate [dik'teit] v.口述；命令
didactic [di'dæktik] a.教诲的；说教的
die [dai] n.金属模子，印模
diehard ['daihɑ:d] n.顽固分子
differentiate [,difə'renʃieit] v.辨别，区别
diffident ['difidənt] a.缺乏自信的
diffuse [di'fju:z] v.扩散；(光等)漫射；a.四散的；漫射的
digestion [di'dʒestʃən] n.消化，吸收
digit ['didʒit] n.手指，足趾；数字，数码
dignity ['diɡniti] n.尊严，尊贵
digress [dai'ɡres] v.离题
digression [dai'ɡreʃən] n.离题，题外话
dilapidate [di'læpi,deit] v.(使)荒废，(使)毁坏
dilapidated [di'læpideitid] a.破旧的，倒塌的
dilate [dai'leit] v.(身体某部位)张大，扩大
dilatory ['dilətəri] a.慢吞吞的，磨蹭的
dilemma [di'lemə] n.困境，左右为难
dilettante [,dili'tænti] n.业余爱好者
diligence ['dilidʒəns] n.勤勉，勤奋
dilute [dai'lju:t] v.把(液体)弄稀，弄淡
dim [dim] v.使暗淡，使模糊
dimension [di'menʃən] n.维度，尺寸
diminution [,dimi'nju:ʃən] n.减少，缩减
dimple ['dimpl] n.酒窝，笑靥
din [din] n.喧闹声，嘈杂声
dingy ['dindʒi] a.肮脏的；褪色的
diplomatic [,diplə'mætik] a.外交的；圆滑的
dire ['daiə] a.可怕的
dirge ['də:dʒ] n.（葬礼）哀歌
disabuse [,disə'bju:z] v.打消(某人的)错误念头；纠正
disaffect [,disə'fekt] v.使不满；使不忠
disagreeable [,disə'ɡriəbl] a.不愉快的；难以相处的，乖戾的
disarm [dis'ɑ:m] v.使„解除武器；使„缓和
disarray [,disə'rei] n.混乱，漫无秩序
disaster [di'zɑ:stə] n.灾难，大不幸
disbar [dis'bɑ:] v.取消律师资格
disburse [dis'bə:s] v.支付，支出
discard [dis'kɑ:d] v.扔掉，抛弃
discern [di'sə:n] v.(费劲)识别，看出
discernible [di'sə:nəbl] a.可识别的，依稀可辨的
discerning [di'sə:niŋ] a.识别力强的
discharge [dis'tʃɑ:dʒ] v.流出；释放；解雇；履行义务
disciple [di'saipl] n.信徒，弟子
discipline ['disiplin] v.(自律)训练，训导；n.纪律；惩罚，处分
disclaim [dis'kleim] v.放弃权利；拒绝承认
disclose [dis'kləuz] v.使某物显露
discography [dis'kɔɡrəfi] n.唱片分类目录；录音音乐研究
discombobulate [,diskʌm'bɔbjuleit] v.扰乱，使困惑
discombobulated[,diskʌm'bɔbjuleitid] a.扰乱的，打乱的
discomfit [dis'kʌmfit] v.使懊恼；使难堪
discomfited [dis'kʌmfitid] a.困惑的，尴尬的
discomfiture [dis'kʌmfitʃə] n.狼狈，难堪
discompose [,diskəm'pəuz] v.使失态，慌张
disconcert [,diskən'sə:t] v.使„尴尬
discord ['diskɔ:d] n.不和，纷争
discount ['diskaunt] n.折扣
discourse [dis'kɔ:s] n.长篇演讲、论述
discredit [dis'kredit] v.使不相信，使怀疑；n.丧失名誉
discreet [dis'kri:t] a.言行谨慎的
discrepancy [dis'krepənsi] n.不同，矛盾
discrete [dis'kri:t] a.个别的；不连续的
discretion [dis'kreʃən] n.谨慎，审慎
discretionary [dis'kreʃənəri] a.自由决定的
discriminate [dis'krimineit] v.区分；歧视
discriminatory [di'skriminətəri] a.歧视的，差别待遇的
discursive [dis'kə:siv] a.（表达）散漫的，无层次的
disdain [dis'dein] n./v.轻视，鄙视
disembodied [disim'bɔdid] a.无实体的，空洞的
disenchant [,disin'tʃɑ:nt] v.对„不再抱幻想，使清醒
disengage ['disin'ɡeidʒ] v.脱离，解开
disentangle ['disin'tæŋɡl] v.解决，解脱，解开，澄清
disfigure [dis'fiɡə] v.毁容
disgorge [dis'ɡɔ:dʒ] v.呕出；(水)流走
disgruntle [dis'ɡrʌntl] v.使不满意
disguise [dis'ɡaiz] v.假扮；掩饰
disgust [dis'ɡʌst] n.反感，厌恶
disillusion [,disi'lu:ʒən] v.梦想破灭，醒悟
disinfect [,disin'fekt] v.杀菌，消毒
disinfectant [disin'fekt(ə)nt] n.消毒剂
disinter ['disin'tə:] v.挖出，挖掘
